username,name,followers,followers_num,location,price,rating,package_offer,instagram_url,collabstr_url,profile_image
mrsjordonbailey,Jordon Bailey,38.3k,38300,"Durant, OK, US",$100,,1 Instagram Story,https://www.instagram.com/mrsjordonbailey,https://collabstr.com/mrsjordonbailey?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/341024/17454621488648605.webp
kristenasamom,Kristen Williams,25.9k,25900,"Tulsa, OK, US",$50,5.0,,https://www.instagram.com/kristenasamom,https://collabstr.com/kristenasamom?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1301569/17804092085018718.webp
zeldahair,Zelda Volkov,27.1k,27100,"Garnerville, NY, US",$125,,1 Instagram Photo Feed Post,https://www.instagram.com/zeldahair,https://collabstr.com/zeldahair?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1150846/17767281624047723.webp
iamkadero,Kadero Watson,15.3k,15300,"Tulsa, OK, US",$125,5.0,1 Instagram Story,https://www.instagram.com/iamkadero,https://collabstr.com/iamkadero?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/534270/1763062868383817.webp
deamommi,Dea,26.4k,26400,"Wilmington, DE, US",$150,4.4,,https://www.instagram.com/deamommi,https://collabstr.com/deamommi?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/189230/17501479624475126.webp
alexrianmundy,Alex Mundy,20.5k,20500,"Rochester, MN, US",$150,5.0,10 Instagram Photo Feed Posts,https://www.instagram.com/alexrianmundy,https://collabstr.com/alexrianmundy?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/797639/17696607221230388.webp
megan-winokur,Megan Winokur,23.8k,23800,"Middletown, DE, US",$300,5.0,,https://www.instagram.com/megan-winokur,https://collabstr.com/megan-winokur?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/2915/16276313681025488.webp
taylorkincade,Taylor Kincade,37.6k,37600,"Cincinnati, OH, US",$50,,1 Instagram Story,https://www.instagram.com/taylorkincade,https://collabstr.com/taylorkincade?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/1028164/17827293715686805.webp
carihall,Cari Hall,18.7k,18700,"Atlanta, GA, US",$200,,,https://www.instagram.com/carihall,https://collabstr.com/carihall?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/457759/17547763445705726.webp
tailynnvictoria,Tailynn Brost,30.5k,30500,"Boise, ID, US",$150,,,https://www.instagram.com/tailynnvictoria,https://collabstr.com/tailynnvictoria?p=instagram,https://d5ik1gor6xydq.cloudfront.net/sellers/102330/17690132262142.webp
